Year,Coal,Natural Gas,Petroleum Products,Nuclear Electric Power,Oil Price
2014,1.329115831484842,9.77830318438248,13.114837049325562,0.0,7.934842572618534
2015,1.2980551427504974,9.914661440319374,13.106404183608955,0.0,7.941885249600043
2016,1.2677203248257525,10.05101969625627,13.09797131789235,0.0,7.948927926581551
2017,1.238094414518428,10.187377952193165,13.089538452175743,0.0,7.955970603563061
2018,1.2091608450565958,10.32373620813006,13.081105586459136,0.0,7.963013280544569
2019,1.1809034368244615,10.460094464066955,13.072672720742531,0.0,7.970055957526078
2020,1.1533063883147427,10.59645272000385,13.064239855025924,0.0,7.977098634507588
2021,1.1263542672924873,10.732810975940744,13.05580698930932,0.0,7.984141311489096
2022,1.1000320021653853,10.86916923187764,13.047374123592713,0.0,7.991183988470605
2023,1.0743248735557547,11.005527487814534,13.038941257876107,0.0,7.998226665452114
2024,1.0492185060694834,11.141885743751429,13.0305083921595,0.0,8.005269342433623
2025,1.0246988602573268,11.278243999688325,13.022075526442896,0.0,8.012312019415132
2026,1.0007522247640657,11.41460225562522,13.013642660726289,0.0,8.01935469639664
2027,0.9773652086611323,11.550960511562113,13.005209795009682,0.0,8.026397373378149
2028,0.9545247339584221,11.68731876749901,12.996776929293077,0.0,8.033440050359658
2029,0.9322180282910961,11.823677023435904,12.98834406357647,0.0,8.040482727341168
2030,0.9104326177772916,11.9600352793728,12.979911197859865,0.0,8.047525404322677
2031,0.889156320042742,12.096393535309694,12.971478332143258,0.0,8.054568081304184
2032,0.8683772374084097,12.232751791246589,12.963045466426653,0.0,8.061610758285694
2033,0.8480837502373179,12.369110047183485,12.954612600710046,0.0,8.068653435267203
2034,0.8282645104368646,12.505468303120379,12.946179734993441,0.0,8.075696112248712
2035,0.8089084351129832,12.641826559057273,12.937746869276834,0.0,8.082738789230222
2036,0.7900047003726024,12.77818481499417,12.929314003560227,0.0,8.089781466211729
2037,0.7715427352709382,12.914543070931064,12.920881137843622,0.0,8.096824143193238
2038,0.7535122159002352,13.050901326867958,12.912448272127016,0.0,8.103866820174748
